Year,G,G,Coach,Offense,Defense,Team
2006,16,0.0,Brad Childress,Darrell Bevell,Mike Tomlin,Minnesota Vikings
2005,16,0.0,Mike Tice,Steve Loney,Ted Cottrell,Minnesota Vikings
2004,16,2.0,Mike Tice,Scott Linehan,Ted Cottrell,Minnesota Vikings
2003,16,0.0,Mike Tice,Scott Linehan,George O'Leary,Minnesota Vikings
2002,16,0.0,Mike Tice,Scott Linehan,Willie Shaw,Minnesota Vikings
2001,1,0.0,Mike Tice,Sherman Lewis,Emmitt Thomas,Minnesota Vikings
2001,15,0.0,Dennis Green,Sherman Lewis,Emmitt Thomas,Minnesota Vikings
2000,16,2.0,Dennis Green,Sherman Lewis,Emmitt Thomas,Minnesota Vikings
1999,16,2.0,Dennis Green,Ray Sherman,Foge Fazio,Minnesota Vikings
1998,16,2.0,Dennis Green,Brian Billick,Foge Fazio,Minnesota Vikings
1997,16,2.0,Dennis Green,Brian Billick,Foge Fazio,Minnesota Vikings
1996,16,1.0,Dennis Green,Brian Billick,Foge Fazio,Minnesota Vikings
1995,16,0.0,Dennis Green,Brian Billick,Tony Dungy,Minnesota Vikings
1994,16,1.0,Dennis Green,Brian Billick,Tony Dungy,Minnesota Vikings
1993,16,1.0,Dennis Green,"Brian Billick, Jack Burns",Tony Dungy,Minnesota Vikings
1992,16,1.0,Dennis Green,Jack Burns,Tony Dungy,Minnesota Vikings
1991,16,0.0,Jerry Burns,Tom Moore,Monte Kiffin,Minnesota Vikings
1990,16,0.0,Jerry Burns,Bob Schnelker,Floyd Peters,Minnesota Vikings
1989,16,1.0,Jerry Burns,Bob Schnelker,Floyd Peters,Minnesota Vikings
1988,16,2.0,Jerry Burns,Bob Schnelker,Floyd Peters,Minnesota Vikings
1987,15,3.0,Jerry Burns,Bob Schnelker,Floyd Peters,Minnesota Vikings
1986,16,0.0,Jerry Burns,Bob Schnelker,Floyd Peters,Minnesota Vikings
1985,16,0.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1984,16,0.0,Les Steckel,Jerry Burns,Floyd Reese,Minnesota Vikings
1983,16,0.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1982,9,2.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1981,16,0.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1980,16,1.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1979,16,0.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1978,16,1.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1977,14,2.0,Bud Grant,Jerry Burns,Neill Armstrong,Minnesota Vikings
1976,14,3.0,Bud Grant,Jerry Burns,Neill Armstrong,Minnesota Vikings
1975,14,1.0,Bud Grant,Jerry Burns,Neill Armstrong,Minnesota Vikings
1974,14,3.0,Bud Grant,Jerry Burns,Neill Armstrong,Minnesota Vikings
1973,14,3.0,Bud Grant,Jerry Burns,Neill Armstrong,Minnesota Vikings
1972,14,0.0,Bud Grant,Jerry Burns,Neill Armstrong,Minnesota Vikings
1971,14,1.0,Bud Grant,Jerry Burns,Neill Armstrong,Minnesota Vikings
1970,14,1.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1969,14,3.0,Bud Grant,Jerry Burns,Bob Hollway,Minnesota Vikings
1968,14,1.0,Bud Grant,Jerry Burns,,Minnesota Vikings
1967,14,0.0,Bud Grant,,,Minnesota Vikings
1966,14,0.0,Norm Van Brocklin,,,Minnesota Vikings
1965,14,0.0,Norm Van Brocklin,,,Minnesota Vikings
1964,14,0.0,Norm Van Brocklin,,,Minnesota Vikings
1963,14,0.0,Norm Van Brocklin,,,Minnesota Vikings
1962,14,0.0,Norm Van Brocklin,,,Minnesota Vikings
1961,14,0.0,Norm Van Brocklin,,,Minnesota Vikings
2025,7,,Mike Vrabel,Josh McDaniels,Terrell Williams,New England Patriots
2024,17,,Jerod Mayo,Alex Van Pelt,DeMarcus Covington,New England Patriots
2023,17,,Bill Belichick,Bill O'Brien,,New England Patriots
2022,17,,Bill Belichick,,,New England Patriots
2021,17,1.0,Bill Belichick,Josh McDaniels,,New England Patriots
2020,16,,Bill Belichick,Josh McDaniels,,New England Patriots
2019,16,1.0,Bill Belichick,Josh McDaniels,,New England Patriots
2018,16,3.0,Bill Belichick,Josh McDaniels,,New England Patriots
2017,16,3.0,Bill Belichick,Josh McDaniels,Matt Patricia,New England Patriots
2016,16,3.0,Bill Belichick,Josh McDaniels,Matt Patricia,New England Patriots
2015,16,2.0,Bill Belichick,Josh McDaniels,Matt Patricia,New England Patriots
2014,16,3.0,Bill Belichick,Josh McDaniels,Matt Patricia,New England Patriots
2013,16,2.0,Bill Belichick,Josh McDaniels,Matt Patricia,New England Patriots
2012,16,2.0,Bill Belichick,Josh McDaniels,Matt Patricia,New England Patriots
2011,16,3.0,Bill Belichick,Bill O'Brien,,New England Patriots
2010,16,1.0,Bill Belichick,,,New England Patriots
2009,16,1.0,Bill Belichick,,Dean Pees,New England Patriots
2008,16,0.0,Bill Belichick,Josh McDaniels,Dean Pees,New England Patriots
2007,16,3.0,Bill Belichick,Josh McDaniels,Dean Pees,New England Patriots
2006,16,3.0,Bill Belichick,Josh McDaniels,Dean Pees,New England Patriots
2005,16,2.0,Bill Belichick,,Eric Mangini,New England Patriots
2004,16,3.0,Bill Belichick,Charlie Weis,Romeo Crennel,New England Patriots
2003,16,3.0,Bill Belichick,Charlie Weis,Romeo Crennel,New England Patriots
2002,16,0.0,Bill Belichick,Charlie Weis,Romeo Crennel,New England Patriots
2001,16,3.0,Bill Belichick,Charlie Weis,Romeo Crennel,New England Patriots
2000,16,0.0,Bill Belichick,Charlie Weis,,New England Patriots
1999,16,0.0,Pete Carroll,Ernie Zampese,Steve Sidwell,New England Patriots
1998,16,1.0,Pete Carroll,Ernie Zampese,Steve Sidwell,New England Patriots
1997,16,2.0,Pete Carroll,Larry Kennan,Steve Sidwell,New England Patriots
1996,16,3.0,Bill Parcells,Ray Perkins,Al Groh,New England Patriots
1995,16,0.0,Bill Parcells,Ray Perkins,Al Groh,New England Patriots
1994,16,1.0,Bill Parcells,Ray Perkins,Al Groh,New England Patriots
1993,16,0.0,Bill Parcells,Ray Perkins,Al Groh,New England Patriots
1992,16,0.0,Dick MacPherson,Dick Coury,Joe Collier,New England Patriots
1991,16,0.0,Dick MacPherson,Dick Coury,Joe Collier,New England Patriots
1990,16,0.0,Rod Rust,Jimmy Raye,Charlie Sumner,New England Patriots
1989,16,0.0,Raymond Berry,,,New England Patriots
1988,16,0.0,Raymond Berry,,,New England Patriots
1987,15,0.0,Raymond Berry,,Rod Rust,New England Patriots
1986,16,1.0,Raymond Berry,,Rod Rust,New England Patriots
1985,16,4.0,Raymond Berry,,Rod Rust,New England Patriots
1984,8,0.0,Raymond Berry,Lew Erber,Rod Rust,New England Patriots
1984,8,0.0,Ron Meyer,Lew Erber,Rod Rust,New England Patriots
1983,16,0.0,Ron Meyer,Lew Erber,Rod Rust,New England Patriots
1982,9,1.0,Ron Meyer,Lew Erber,Jim Mora,New England Patriots
1981,16,0.0,Ron Erhardt,Jim Ringo,Fritz Shurmur,New England Patriots
1980,16,0.0,Ron Erhardt,Jim Ringo,Fritz Shurmur,New England Patriots
1979,16,0.0,Ron Erhardt,Jim Ringo,Hank Bullough,New England Patriots
1978,15,1.0,Chuck Fairbanks,Ron Erhardt,Hank Bullough,New England Patriots
1978,1,0.0,Ron Erhardt,,Hank Bullough,New England Patriots
1978,1,0.0,Hank Bullough,Ron Erhardt,,New England Patriots
1977,14,0.0,Chuck Fairbanks,Ron Erhardt,,New England Patriots
1976,14,1.0,Chuck Fairbanks,,,New England Patriots
1975,14,0.0,Chuck Fairbanks,,,New England Patriots
1974,14,0.0,Chuck Fairbanks,,,New England Patriots
1973,14,0.0,Chuck Fairbanks,,,New England Patriots
1972,5,0.0,Phil Bengtson,,Dick Evans,New England Patriots
1972,9,0.0,John Mazur,,Dick Evans,New England Patriots
1971,14,0.0,John Mazur,,Dick Evans,New England Patriots
1970,7,0.0,John Mazur,,Bill Elias,New England Patriots
1970,7,0.0,Clive Rush,John Mazur,Bill Elias,New England Patriots
1969,14,0.0,Clive Rush,John Mazur,,New England Patriots
1968,14,0.0,Mike Holovak,,,New England Patriots
1967,14,0.0,Mike Holovak,,,New England Patriots
1966,14,0.0,Mike Holovak,,,New England Patriots
1965,14,0.0,Mike Holovak,,,New England Patriots
1964,14,0.0,Mike Holovak,,,New England Patriots
1963,14,2.0,Mike Holovak,,,New England Patriots
1962,14,0.0,Mike Holovak,,,New England Patriots
1961,9,0.0,Mike Holovak,,,New England Patriots
1961,5,0.0,Lou Saban,,,New England Patriots
1960,14,0.0,Lou Saban,,,New England Patriots
2025,7,,Kellen Moore,Doug Nussmeier,Brandon Staley,New Orleans Saints
2024,8,,Darren Rizzi,Klint Kubiak,Joe Woods,New Orleans Saints
2024,9,,Dennis Allen,Klint Kubiak,Joe Woods,New Orleans Saints
2023,17,,Dennis Allen,Pete Carmichael,Joe Woods,New Orleans Saints
2022,17,,Dennis Allen,Pete Carmichael,"Ryan Nielsen, Kris Richard",New Orleans Saints
2021,17,,Sean Payton,Pete Carmichael,Dennis Allen,New Orleans Saints
2020,16,2.0,Sean Payton,Pete Carmichael,Dennis Allen,New Orleans Saints
2019,16,1.0,Sean Payton,Pete Carmichael,Dennis Allen,New Orleans Saints
2018,16,2.0,Sean Payton,Pete Carmichael,Dennis Allen,New Orleans Saints
2017,16,2.0,Sean Payton,Pete Carmichael,Dennis Allen,New Orleans Saints
2016,16,,Sean Payton,Pete Carmichael,Dennis Allen,New Orleans Saints
2015,16,,Sean Payton,Pete Carmichael,"Dennis Allen, Rob Ryan",New Orleans Saints
2014,16,0.0,Sean Payton,Pete Carmichael,Rob Ryan,New Orleans Saints
2013,16,2.0,Sean Payton,Pete Carmichael,Rob Ryan,New Orleans Saints
2012,10,0.0,Joe Vitt,Pete Carmichael,Steve Spagnuolo,New Orleans Saints
2012,6,0.0,Aaron Kromer,Pete Carmichael,Steve Spagnuolo,New Orleans Saints
2011,16,2.0,Sean Payton,Pete Carmichael,Gregg Williams,New Orleans Saints
2010,16,1.0,Sean Payton,Pete Carmichael,Gregg Williams,New Orleans Saints
2009,16,3.0,Sean Payton,Pete Carmichael,Gregg Williams,New Orleans Saints
2008,16,0.0,Sean Payton,Doug Marrone,Gary Gibbs,New Orleans Saints
2007,16,0.0,Sean Payton,Doug Marrone,Gary Gibbs,New Orleans Saints
2006,16,2.0,Sean Payton,Doug Marrone,Gary Gibbs,New Orleans Saints
2005,16,0.0,Jim Haslett,Mike Sheppard,Rick Venturi,New Orleans Saints
2004,16,0.0,Jim Haslett,Mike McCarthy,Rick Venturi,New Orleans Saints
2003,16,0.0,Jim Haslett,Mike McCarthy,Rick Venturi,New Orleans Saints
2002,16,0.0,Jim Haslett,Mike McCarthy,Rick Venturi,New Orleans Saints
2001,16,0.0,Jim Haslett,Mike McCarthy,Ron Zook,New Orleans Saints
2000,16,2.0,Jim Haslett,Mike McCarthy,Ron Zook,New Orleans Saints
1999,16,0.0,Mike Ditka,Danny Abramowicz,Zaven Yaralian,New Orleans Saints
1998,16,0.0,Mike Ditka,Danny Abramowicz,Zaven Yaralian,New Orleans Saints
1997,16,0.0,Mike Ditka,Danny Abramowicz,Zaven Yaralian,New Orleans Saints
1996,8,0.0,Rick Venturi,Carl Smith,Jim Haslett,New Orleans Saints
1996,8,0.0,Jim Mora,Carl Smith,Jim Haslett,New Orleans Saints
1995,16,0.0,Jim Mora,Carl Smith,Monte Kiffin,New Orleans Saints
1994,16,0.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1993,16,0.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1992,16,1.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1991,16,1.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1990,16,1.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1989,16,0.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1988,16,0.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1987,15,1.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1986,16,0.0,Jim Mora,Carl Smith,Steve Sidwell,New Orleans Saints
1985,4,0.0,Wade Phillips,"King Hill, John Levra",,New Orleans Saints
1985,12,0.0,Bum Phillips,"King Hill, John Levra",Wade Phillips,New Orleans Saints
1984,16,0.0,Bum Phillips,King Hill,Wade Phillips,New Orleans Saints
1983,16,0.0,Bum Phillips,King Hill,Wade Phillips,New Orleans Saints
1982,9,0.0,Bum Phillips,King Hill,Wade Phillips,New Orleans Saints
1981,16,0.0,Bum Phillips,King Hill,Wade Phillips,New Orleans Saints
1980,4,0.0,Dick Stanfel,,Ed Beard,New Orleans Saints
1980,12,0.0,Dick Nolan,Dick Stanfel,Ed Beard,New Orleans Saints
1979,16,0.0,Dick Nolan,Ed Hughes,Paul Wiggin,New Orleans Saints
1978,16,0.0,Dick Nolan,Ed Hughes,Paul Wiggin,New Orleans Saints
1977,14,0.0,Hank Stram,,,New Orleans Saints
1976,14,0.0,Hank Stram,,,New Orleans Saints
1975,8,0.0,Ernie Hefferle,,,New Orleans Saints
1975,6,0.0,John North,,,New Orleans Saints
1974,14,0.0,John North,,,New Orleans Saints
1973,14,0.0,John North,,Jim Champion,New Orleans Saints
1972,14,0.0,J.D. Roberts,Ken Shipp,Jim Champion,New Orleans Saints
1971,14,0.0,J.D. Roberts,Ken Shipp,Jim Champion,New Orleans Saints
1970,7,0.0,J.D. Roberts,,,New Orleans Saints
1970,7,0.0,Tom Fears,,,New Orleans Saints
1969,14,0.0,Tom Fears,,Jack Faulkner,New Orleans Saints
1968,14,0.0,Tom Fears,George Dickson,Jack Faulkner,New Orleans Saints
1967,14,0.0,Tom Fears,George Dickson,Jack Faulkner,New Orleans Saints
2025,7,,Brian Daboll,Mike Kafka,Shane Bowen,New York Giants
2024,17,,Brian Daboll,Mike Kafka,Shane Bowen,New York Giants
2023,17,,Brian Daboll,Mike Kafka,Don Martindale,New York Giants
2022,17,2.0,Brian Daboll,Mike Kafka,Don Martindale,New York Giants
2021,17,,Joe Judge,"Jason Garrett, Freddie Kitchens",Patrick Graham,New York Giants
2020,16,,Joe Judge,Jason Garrett,Patrick Graham,New York Giants
2019,16,,Pat Shurmur,Mike Shula,James Bettcher,New York Giants
2018,16,,Pat Shurmur,Mike Shula,James Bettcher,New York Giants
2017,4,,Steve Spagnuolo,Mike Sullivan,,New York Giants
2017,12,,Ben McAdoo,Mike Sullivan,Steve Spagnuolo,New York Giants
2016,16,1.0,Ben McAdoo,Mike Sullivan,Steve Spagnuolo,New York Giants
2015,16,,Tom Coughlin,Ben McAdoo,Steve Spagnuolo,New York Giants
2014,16,0.0,Tom Coughlin,Ben McAdoo,Perry Fewell,New York Giants
2013,16,0.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,New York Giants
2012,16,0.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,New York Giants
2011,16,4.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,New York Giants
2010,16,0.0,Tom Coughlin,Kevin Gilbride,Perry Fewell,New York Giants
2009,16,0.0,Tom Coughlin,Kevin Gilbride,Bill Sheridan,New York Giants
2008,16,1.0,Tom Coughlin,Kevin Gilbride,Steve Spagnuolo,New York Giants
2007,16,4.0,Tom Coughlin,Kevin Gilbride,Steve Spagnuolo,New York Giants
2006,16,1.0,Tom Coughlin,John Hufnagel,Tim Lewis,New York Giants
2005,16,1.0,Tom Coughlin,John Hufnagel,Tim Lewis,New York Giants
2004,16,0.0,Tom Coughlin,John Hufnagel,Tim Lewis,New York Giants
2003,16,0.0,Jim Fassel,,Johnny Lynn,New York Giants
2002,16,1.0,Jim Fassel,Sean Payton,Johnny Lynn,New York Giants
2001,16,0.0,Jim Fassel,Sean Payton,John Fox,New York Giants
2000,16,3.0,Jim Fassel,Sean Payton,John Fox,New York Giants
1999,16,0.0,Jim Fassel,Jim Skipper,John Fox,New York Giants
1998,16,0.0,Jim Fassel,Jim Skipper,John Fox,New York Giants
1997,16,1.0,Jim Fassel,Jim Skipper,John Fox,New York Giants
1996,16,0.0,Dan Reeves,George Henshaw,Mike Nolan,New York Giants
1995,16,0.0,Dan Reeves,George Henshaw,Mike Nolan,New York Giants
1994,16,0.0,Dan Reeves,George Henshaw,Mike Nolan,New York Giants
1993,16,2.0,Dan Reeves,George Henshaw,Mike Nolan,New York Giants
1992,16,0.0,Ray Handley,Jim Fassel,Rod Rust,New York Giants
1991,16,0.0,Ray Handley,,Al Groh,New York Giants
1990,16,3.0,Bill Parcells,Ron Erhardt,Bill Belichick,New York Giants
1989,16,1.0,Bill Parcells,Ron Erhardt,Bill Belichick,New York Giants
1988,16,0.0,Bill Parcells,Ron Erhardt,Bill Belichick,New York Giants
1987,15,0.0,Bill Parcells,Ron Erhardt,Bill Belichick,New York Giants
1986,16,3.0,Bill Parcells,Ron Erhardt,Bill Belichick,New York Giants
1985,16,2.0,Bill Parcells,Ron Erhardt,Bill Belichick,New York Giants
1984,16,2.0,Bill Parcells,Ron Erhardt,,New York Giants
1983,16,0.0,Bill Parcells,Ron Erhardt,,New York Giants
1982,9,0.0,Ray Perkins,Ron Erhardt,Bill Parcells,New York Giants
1981,16,2.0,Ray Perkins,,Bill Parcells,New York Giants
1980,16,0.0,Ray Perkins,,Ralph Hawkins,New York Giants
1979,16,0.0,Ray Perkins,,Ralph Hawkins,New York Giants
1978,16,0.0,John McVay,Bob Gibson,Dick Modzelewski,New York Giants
1977,14,0.0,John McVay,Bob Gibson,Marty Schottenheimer,New York Giants
1976,7,0.0,John McVay,,,New York Giants
1976,7,0.0,Bill Arnsparger,,,New York Giants
1975,14,0.0,Bill Arnsparger,,,New York Giants
1974,14,0.0,Bill Arnsparger,,,New York Giants
1973,14,0.0,Alex Webster,Joe Walton,Jim Garrett,New York Giants
1972,14,0.0,Alex Webster,Joe Walton,Jim Garrett,New York Giants
1971,14,0.0,Alex Webster,Joe Walton,Norb Hecker,New York Giants
1970,14,0.0,Alex Webster,Ken Kavanaugh,Norb Hecker,New York Giants
1969,14,0.0,Alex Webster,Ken Kavanaugh,Norb Hecker,New York Giants
1968,14,0.0,Allie Sherman,,Harland Svare,New York Giants
1967,14,0.0,Allie Sherman,,Harland Svare,New York Giants
1966,14,0.0,Allie Sherman,,Pop Ivy,New York Giants
1965,14,0.0,Allie Sherman,,Pop Ivy,New York Giants
1964,14,0.0,Allie Sherman,,Andy Robustelli,New York Giants
1963,14,1.0,Allie Sherman,Kyle Rote,Andy Robustelli,New York Giants
1962,14,1.0,Allie Sherman,Kyle Rote,Andy Robustelli,New York Giants
1961,14,1.0,Allie Sherman,,Harland Svare,New York Giants
1960,12,0.0,Jim Lee Howell,Allie Sherman,Harland Svare,New York Giants
1959,12,1.0,Jim Lee Howell,Allie Sherman,Tom Landry,New York Giants
1958,12,2.0,Jim Lee Howell,Vince Lombardi,Tom Landry,New York Giants
1957,12,0.0,Jim Lee Howell,Vince Lombardi,Tom Landry,New York Giants
1956,12,1.0,Jim Lee Howell,Vince Lombardi,Tom Landry,New York Giants
1955,12,0.0,Jim Lee Howell,Vince Lombardi,Tom Landry,New York Giants
1954,12,0.0,Jim Lee Howell,Vince Lombardi,Tom Landry,New York Giants
1953,12,0.0,Steve Owen,,,New York Giants
1952,12,0.0,Steve Owen,,,New York Giants
1951,12,0.0,Steve Owen,,,New York Giants
1950,12,1.0,Steve Owen,,,New York Giants
1949,12,0.0,Steve Owen,,,New York Giants
1948,12,0.0,Steve Owen,,,New York Giants
1947,12,0.0,Steve Owen,,,New York Giants
1946,11,1.0,Steve Owen,,,New York Giants
1945,10,0.0,Steve Owen,,,New York Giants
1944,10,1.0,Steve Owen,,,New York Giants
1943,10,1.0,Steve Owen,,,New York Giants
1942,11,0.0,Steve Owen,,,New York Giants
1941,11,1.0,Steve Owen,,,New York Giants
1940,11,0.0,Steve Owen,,,New York Giants
1939,11,1.0,Steve Owen,,,New York Giants
1938,11,1.0,Steve Owen,,,New York Giants
1937,11,0.0,Steve Owen,,,New York Giants
1936,12,0.0,Steve Owen,,,New York Giants
1935,12,1.0,Steve Owen,,,New York Giants
1934,13,1.0,Steve Owen,,,New York Giants
1933,14,1.0,Steve Owen,,,New York Giants
1932,12,0.0,Steve Owen,,,New York Giants
1931,14,0.0,Steve Owen,,,New York Giants
1930,2,0.0,Benny Friedman,,,New York Giants
1930,2,,Steve Owen,,,New York Giants
1930,15,0.0,Roy Andrews,,,New York Giants
1929,15,0.0,Roy Andrews,,,New York Giants
1928,13,0.0,Earl Potteiger,,,New York Giants
1927,13,0.0,Earl Potteiger,,,New York Giants
1926,13,0.0,Doc Alexander,,,New York Giants
1925,12,0.0,Bob Folwell,,,New York Giants
2025,7,,Aaron Glenn,Tanner Engstrand,Steve Wilks,New York Jets
2024,12,,Jeff Ulbrich,Nathaniel Hackett,,New York Jets
2024,5,,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,New York Jets
2023,17,,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,New York Jets
2022,17,,Robert Saleh,Mike LaFleur,Jeff Ulbrich,New York Jets
2021,17,,Robert Saleh,Mike LaFleur,Jeff Ulbrich,New York Jets
2020,16,,Adam Gase,Dowell Loggains,"Frank Bush, Gregg Williams",New York Jets
2019,16,,Adam Gase,Dowell Loggains,Gregg Williams,New York Jets
2018,16,,Todd Bowles,Jeremy Bates,Kacy Rodgers,New York Jets
2017,16,,Todd Bowles,John Morton,Kacy Rodgers,New York Jets
2016,16,,Todd Bowles,Chan Gailey,Kacy Rodgers,New York Jets
2015,16,,Todd Bowles,Chan Gailey,Kacy Rodgers,New York Jets
2014,16,0.0,Rex Ryan,Marty Mornhinweg,Dennis Thurman,New York Jets
2013,16,0.0,Rex Ryan,Marty Mornhinweg,Dennis Thurman,New York Jets
2012,16,0.0,Rex Ryan,Tony Sparano,Mike Pettine,New York Jets
2011,16,0.0,Rex Ryan,Brian Schottenheimer,Mike Pettine,New York Jets
2010,16,3.0,Rex Ryan,Brian Schottenheimer,Mike Pettine,New York Jets
2009,16,3.0,Rex Ryan,Brian Schottenheimer,Mike Pettine,New York Jets
2008,16,0.0,Eric Mangini,Brian Schottenheimer,Bob Sutton,New York Jets
2007,16,0.0,Eric Mangini,Brian Schottenheimer,Bob Sutton,New York Jets
2006,16,1.0,Eric Mangini,Brian Schottenheimer,Bob Sutton,New York Jets
2005,16,0.0,Herm Edwards,Mike Heimerdinger,Donnie Henderson,New York Jets
2004,16,2.0,Herm Edwards,Paul Hackett,Donnie Henderson,New York Jets
2003,16,0.0,Herm Edwards,Paul Hackett,Ted Cottrell,New York Jets
2002,16,2.0,Herm Edwards,Paul Hackett,Ted Cottrell,New York Jets
2001,16,1.0,Herm Edwards,Paul Hackett,Ted Cottrell,New York Jets
2000,16,0.0,Al Groh,Dan Henning,Mike Nolan,New York Jets
1999,16,0.0,Bill Parcells,Charlie Weis,Bill Belichick,New York Jets
1998,16,2.0,Bill Parcells,Charlie Weis,Bill Belichick,New York Jets
1997,16,0.0,Bill Parcells,Charlie Weis,Bill Belichick,New York Jets
1996,16,0.0,Rich Kotite,Ron Erhardt,Jim Vechiarella,New York Jets
1995,16,0.0,Rich Kotite,Zeke Bratkowski,Jim Vechiarella,New York Jets
1994,16,0.0,Pete Carroll,Ray Sherman,Greg Robinson,New York Jets
1993,16,0.0,Bruce Coslet,,Pete Carroll,New York Jets
1992,16,0.0,Bruce Coslet,,Pete Carroll,New York Jets
1991,16,1.0,Bruce Coslet,,Pete Carroll,New York Jets
1990,16,0.0,Bruce Coslet,,Pete Carroll,New York Jets
1989,16,0.0,Joe Walton,Rich Kotite,Ralph Hawkins,New York Jets
1988,16,0.0,Joe Walton,Rich Kotite,Bud Carson,New York Jets
1987,15,0.0,Joe Walton,Rich Kotite,Bud Carson,New York Jets
1986,16,2.0,Joe Walton,Rich Kotite,Bud Carson,New York Jets
1985,16,1.0,Joe Walton,Rich Kotite,Bud Carson,New York Jets
1984,16,0.0,Joe Walton,,Joe Gardi,New York Jets
1983,16,0.0,Joe Walton,,Joe Gardi,New York Jets
1982,9,3.0,Walt Michaels,Joe Walton,Joe Gardi,New York Jets
1981,16,1.0,Walt Michaels,Joe Walton,Joe Gardi,New York Jets
1980,16,0.0,Walt Michaels,,John Mazur,New York Jets
1979,16,0.0,Walt Michaels,John Idzik,John Mazur,New York Jets
1978,16,0.0,Walt Michaels,John Idzik,,New York Jets
1977,14,0.0,Walt Michaels,John Idzik,,New York Jets
1976,1,0.0,Mike Holovak,,Walt Michaels,New York Jets
1976,13,0.0,Lou Holtz,,Walt Michaels,New York Jets
1975,5,0.0,Ken Shipp,,Dick Voris,New York Jets
1975,9,0.0,Charley Winner,Ken Shipp,Dick Voris,New York Jets
1974,14,0.0,Charley Winner,Ken Shipp,Dick Voris,New York Jets
1973,14,0.0,Weeb Ewbank,Ken Shipp,Charley Winner,New York Jets
1972,14,0.0,Weeb Ewbank,,,New York Jets
1971,14,0.0,Weeb Ewbank,,,New York Jets
1970,14,0.0,Weeb Ewbank,,,New York Jets
1969,14,1.0,Weeb Ewbank,,,New York Jets
1968,14,2.0,Weeb Ewbank,Clive Rush,,New York Jets
1967,14,0.0,Weeb Ewbank,Clive Rush,,New York Jets
1966,14,0.0,Weeb Ewbank,Clive Rush,,New York Jets
1965,14,0.0,Weeb Ewbank,Clive Rush,,New York Jets
1964,14,0.0,Weeb Ewbank,Clive Rush,,New York Jets
1963,14,0.0,Weeb Ewbank,,,New York Jets
1962,14,0.0,Bulldog Turner,,,New York Jets
1961,14,0.0,Sammy Baugh,,,New York Jets
1960,14,0.0,Sammy Baugh,,,New York Jets
2025,7,,Nick Sirianni,Kevin Patullo,Vic Fangio,Philadelphia Eagles
2024,17,4.0,Nick Sirianni,Kellen Moore,Vic Fangio,Philadelphia Eagles
2023,17,1.0,Nick Sirianni,Brian Johnson,Sean Desai,Philadelphia Eagles
2022,17,3.0,Nick Sirianni,Shane Steichen,Jonathan Gannon,Philadelphia Eagles
2021,17,1.0,Nick Sirianni,Shane Steichen,Jonathan Gannon,Philadelphia Eagles
2020,16,,Doug Pederson,,Jim Schwartz,Philadelphia Eagles
2019,16,1.0,Doug Pederson,Mike Groh,Jim Schwartz,Philadelphia Eagles
2018,16,2.0,Doug Pederson,Mike Groh,Jim Schwartz,Philadelphia Eagles
2017,16,3.0,Doug Pederson,Frank Reich,Jim Schwartz,Philadelphia Eagles
2016,16,,Doug Pederson,Frank Reich,Jim Schwartz,Philadelphia Eagles
2015,1,,Pat Shurmur,,Bill Davis,Philadelphia Eagles
2015,15,0.0,Chip Kelly,Pat Shurmur,Bill Davis,Philadelphia Eagles
2014,16,0.0,Chip Kelly,Pat Shurmur,Bill Davis,Philadelphia Eagles
2013,16,1.0,Chip Kelly,Pat Shurmur,Bill Davis,Philadelphia Eagles
2012,16,0.0,Andy Reid,Marty Mornhinweg,"Todd Bowles, Juan Castillo",Philadelphia Eagles
2011,16,0.0,Andy Reid,Marty Mornhinweg,Juan Castillo,Philadelphia Eagles
2010,16,1.0,Andy Reid,Marty Mornhinweg,Sean McDermott,Philadelphia Eagles
2009,16,1.0,Andy Reid,Marty Mornhinweg,Sean McDermott,Philadelphia Eagles
2008,16,3.0,Andy Reid,Marty Mornhinweg,Jim Johnson,Philadelphia Eagles
2007,16,0.0,Andy Reid,Marty Mornhinweg,Jim Johnson,Philadelphia Eagles
